practice,city,state,zip,consolidator,investor
VCA Apache Junction Animal Hospital,Apache Junction,AZ,85120,VCA,Mars
Banfield Avondale,Avondale,AZ,85392,Banfield,Mars
Banfield Avondale Fiesta,Avondale,AZ,85323,Banfield,Mars
BluePearl Pet Hospital Avondale,Avondale,AZ,85392,BluePearl Pet Hospital,Mars
Eye Care for Animals - Avondale,Avondale,AZ,85392,Thrive Pet Healthcare,TSG Consumer Partners
Vetco Total Care - Avondale,Avondale,AZ,85392,Vetco Total Care,Petco
CityVet | Verrado,Buckeye,AZ,85396,CityVet,RiverGlade Capital
GoodVets Buckeye,Buckeye,AZ,85396,GoodVets,General Atlantic
Hippo Vet Group Buckeye (coming soon),Buckeye,AZ,85326,Hippo Vet Group,DFW & Avante Capital Partners
North Buckeye,Buckeye,AZ,85326,Lovet Pet Health,The Aspen Group
Verrado,Buckeye,AZ,85396,Lovet Pet Health,The Aspen Group
Casa Grande Animal Hospital,Casa Grande,AZ,85122,NVA,JAB Holdings
Animal Health Services of Cave Creek,Cave Creek,AZ,85331,PetVet Care Centers,KKR
Chaparral Veterinary Medical Center,Cave Creek,AZ,85331,NVA,JAB Holdings
Dove Valley,Cave Creek,AZ,85331,Lovet Pet Health,The Aspen Group
Dynamite Creek Animal Hospital,Cave Creek,AZ,85331,Heartland Veterinary Partners,Gryphon Investors
PetSuites Cave Creek,Cave Creek,AZ,85331,NVA,JAB Holdings
UrgentVet Cave Creek,Cave Creek,AZ,85331,American Veterinary Group,Oak Hill Capital
Animal Medical Center of Chandler,Chandler,AZ,85248,Mission Pet Health,Silver Lake and Shore Capital Partners
Arizona Avenue Animal Clinic,Chandler,AZ,85225,NVA,JAB Holdings
Banfield Chandler,Chandler,AZ,85224,Banfield,Mars
Banfield Chandler E,Chandler,AZ,85286,Banfield,Mars
Banfield Chandler Riggs Rd,Chandler,AZ,85249,Banfield,Mars
Chandler Gilbert Animal Hospital,Chandler,AZ,85286,Mission Pet Health,Silver Lake and Shore Capital Partners
Chewy Vet Care Chandler,Chandler,AZ,85226,Chewy Vet Care,"Chewy, Inc."
CityVet - Chandler Veterinary Clinic & Urgent care,Chandler,AZ,85248,CityVet,RiverGlade Capital
GoodVets Chandler,Chandler,AZ,85286,GoodVets,General Atlantic
Kennel Care Veterinary Hospital,Chandler,AZ,85226,NVA,JAB Holdings
LifeCare Animal Hospital,Chandler,AZ,85249,Mission Pet Health,Silver Lake and Shore Capital Partners
Ocotillo Animal Clinic & Pet Resort,Chandler,AZ,85286,NVA,JAB Holdings
Pet Doctor of Chandler,Chandler,AZ,85248,Mission Pet Health,Silver Lake and Shore Capital Partners
PetSuites Chandler,Chandler,AZ,85286,NVA,JAB Holdings
VCA Animal Hospitals Urgent Care - Chandler,Chandler,AZ,85286,VCA,Mars
