practice,city,state,zip,consolidator,investor
Banfield Shea,Phoenix,AZ,85028,Banfield,Mars
Banfield South Mountain,Phoenix,AZ,85042,Banfield,Mars
Bell Ridge,Phoenix,AZ,85053,Lovet Pet Health,The Aspen Group
Camelwest Animal Hospital,Phoenix,AZ,85037,NVA,JAB Holdings
Deer Creek Animal Hospital,Phoenix,AZ,85050,Destination Pet,L1 Health
Desert Hills Animal Clinic,Phoenix,AZ,85085,Lakefield Veterinary Group,Desmarais family and Peloton Capital Management
Doggie District - Paradise Valley,Phoenix,AZ,85032,NVA,JAB Holdings
East Maryland Animal Hospital,Phoenix,AZ,85012,NVA,JAB Holdings
Eye Care for Animals - Phoenix,Phoenix,AZ,85085,Thrive Pet Healthcare,TSG Consumer Partners
GoodVets Paradise Valley,Phoenix,AZ,85028,GoodVets,General Atlantic
GoodVets Tolleson,Phoenix,AZ,85037,GoodVets,General Atlantic
Hippo Vet Group Phoenix (coming soon),Phoenix,AZ,85339,Hippo Vet Group,DFW & Avante Capital Partners
Lovet Madison,Phoenix,AZ,85020,Lovet Pet Health,The Aspen Group
Lovet Norterra,Phoenix,AZ,85085,Lovet Pet Health,The Aspen Group
Modern Animal - Arcadia,Phoenix,AZ,85018,Modern Animal,"Chewy, Inc. (NYSE: CHWY)"
North Central Animal Hospital,Phoenix,AZ,85021,VetCor,Harvest Partners
North Kenilworth Veterinary Care,Phoenix,AZ,85003,Lakefield Veterinary Group,Desmarais family and Peloton Capital Management
North Phoenix Animal Clinic,Phoenix,AZ,85022,Western Veterinary Partners,Tyree & D'Angelo Partners
Palm Glen Animal Hospital,Phoenix,AZ,85051,NVA,JAB Holdings
Palo Verde Animal Hospital,Phoenix,AZ,85020,O'Brien Veterinary Group,Family owned corporate consolidator
Phoenix Dog Cat Bird Hospital,Phoenix,AZ,85013,VetCor,Harvest Partners
Phoenix Veterinary Imaging and Mobile Services,Phoenix,AZ,85028,Ethos Veterinary Health,JAB Holdings
Phoenix Veterinary Referral & Emergency Center,Phoenix,AZ,85032,PetVet Care Centers,KKR
Stonecrest Animal Hospital,Phoenix,AZ,85032,NVA,JAB Holdings
The Pet Wellness Center,Phoenix,AZ,85085,Lakefield Veterinary Group,Desmarais family and Peloton Capital Management
VCA Mountain View Animal Hospital,Phoenix,AZ,85020,VCA,Mars
VCA Southside Animal Hospital CLOSED,Phoenix,AZ,85042,VCA,Mars
VEG Phoenix,Phoenix,AZ,85016,VEG (Veterinary Emergency Group),D1 Capital & Fidelity
Vetco Total Care - Phoenix,Phoenix,AZ,85085,Vetco Total Care,Petco
VetMED Emergency & Specialty Care,Phoenix,AZ,85024,Ethos Veterinary Health,JAB Holdings
West Phoenix Veterinary Hospital,Phoenix,AZ,85033,VetCor,Harvest Partners
Westridge Animal Hospital,Phoenix,AZ,85033,Heartland Veterinary Partners,Gryphon Investors
White Mountain Animal Hospital,Pinetop-Lakeside,AZ,85929,AmeriVet,AEA Investors and Abu Dhabi Investment Authority (ADIA)
Harmony Veterinary Care,Prescott,AZ,86305,Companion Pet Partners,Cortec Group
Mile Hi Animal Hospital,Prescott,AZ,86303,Companion Pet Partners,Cortec Group
Prescott Animal Hospital,Prescott,AZ,86305,Mission Pet Health,Silver Lake and Shore Capital Partners
Prescott Animal Hospital Equine Center,Prescott,AZ,86301,Mission Pet Health,Silver Lake and Shore Capital Partners
VCA Thumb Butte Animal Hospital,Prescott,AZ,86305,VCA,Mars
Premier Pet Hospital,Prescott Valley,AZ,86314,VetCor,Harvest Partners
Animal House Veterinary Clinic,Queen Creek,AZ,85142,Companion Pet Partners,Cortec Group
"Arizona Regional Intensive Care, Specialty & Emergency Veterinary Center (ARISE)",Queen Creek,AZ,85142,Ethos Veterinary Health,JAB Holdings
Banfield Queen Creek,Queen Creek,AZ,85142,Banfield,Mars
CityVet - Queen Creek,Queen Creek,AZ,85142,CityVet,RiverGlade Capital
Dermatology for Animals – Queen Creek,Queen Creek,AZ,85142,Thrive Pet Healthcare,TSG Consumer Partners
Gilbert Queen Creek Emergency Veterinarian & Specialty Center,Queen Creek,AZ,85142,Hippo Vet Group,DFW & Avante Capital Partners
Livewell Animal Hospital of Queen Creek,Queen Creek,AZ,85142,Mission Pet Health,Silver Lake and Shore Capital Partners
Queen Creek,Queen Creek,AZ,85142,Lovet Pet Health,The Aspen Group
Queen Creek Veterinary Clinic,Queen Creek,AZ,85142,Hippo Vet Group,DFW & Avante Capital Partners
San Tan Animal Hospital,Queen Creek,AZ,85142,Mission Pet Health,Silver Lake and Shore Capital Partners
The Pet Dental Clinic,Queen Creek,AZ,85142,Thrive Pet Healthcare,TSG Consumer Partners
VCA Valley Animal Hospital of Sahuarita,Sahuarita,AZ,85629,VCA,Mars
Empire Ranch Veterinary Hospital,San Tan Valley,AZ,85143,Hippo Vet Group,DFW & Avante Capital Partners
Ironwood Animal Hospital,San Tan Valley,AZ,85140,Thrive Pet Healthcare,TSG Consumer Partners
Johnson Ranch Animal Hospital,San Tan Valley,AZ,85143,Hippo Vet Group,DFW & Avante Capital Partners
Animal Clinic Del Rancho,Scottsdale,AZ,85259,Thrive Pet Healthcare,TSG Consumer Partners
Arizona Animal Hospital,Scottsdale,AZ,85266,NVA,JAB Holdings
Arizona Veterinary Dental Specialists - Scottsdale,Scottsdale,AZ,85255,Thrive Pet Healthcare,TSG Consumer Partners
Banfield Old Town Scottsdale,Scottsdale,AZ,85251,Banfield,Mars
Banfield Scottsdale,Scottsdale,AZ,85258,Banfield,Mars
Banfield Scottsdale-McDowell Mountain,Scottsdale,AZ,85260,Banfield,Mars
BluePearl Pet Hospital Scottsdale,Scottsdale,AZ,85255,BluePearl Pet Hospital,Mars
Cochise Animal Hospital,Scottsdale,AZ,85253,Companion Pet Partners,Cortec Group
DC Ranch Animal Hospital,Scottsdale,AZ,85255,NVA,JAB Holdings
Dermatology for Animals - North Scottsdale,Scottsdale,AZ,85255,Thrive Pet Healthcare,TSG Consumer Partners
Dermatology for Animals - Scottsdale,Scottsdale,AZ,85250,Thrive Pet Healthcare,TSG Consumer Partners
Desert Tails Animal Clinic,Scottsdale,AZ,85258,Western Veterinary Partners,Tyree & D'Angelo Partners
Dynamite Animal Hospital,Scottsdale,AZ,85262,Thrive Pet Healthcare,TSG Consumer Partners
Equine Sports Medicine and Rehabilitation – Arizona,Scottsdale,AZ,85266,Altano Group,Ufenau Capital Partners
Eye Care for Animals - North Scottsdale,Scottsdale,AZ,85255,Thrive Pet Healthcare,TSG Consumer Partners
GoodVets North Scottsdale,Scottsdale,AZ,85255,GoodVets,General Atlantic
Hillside Animal Hospital,Scottsdale,AZ,85259,NVA,JAB Holdings
Livewell Animal Hospital of North Scottsdale,Scottsdale,AZ,85255,Mission Pet Health,Silver Lake and Shore Capital Partners
Livewell Animal Hospital of Old Town (coming soon),Scottsdale,AZ,85251,Mission Pet Health,Silver Lake and Shore Capital Partners
Lovet Scottsdale Hills,Scottsdale,AZ,85254,Lovet Pet Health,The Aspen Group
Low Cost Veterinary Clinic of Scottsdale,Scottsdale,AZ,85251,Hippo Vet Group,DFW & Avante Capital Partners
McDowell Mountain Animal Hospital,Scottsdale,AZ,85255,NVA,JAB Holdings
MedVet Phoenix,Scottsdale,AZ,85258,MedVet,Minority stake by Leonard Green & Partners
Pima North Animal Hospital,Scottsdale,AZ,85255,NVA,JAB Holdings
Pinnacle Peak Animal Hospital,Scottsdale,AZ,85255,NVA,JAB Holdings
Raintree Pet Resort,Scottsdale,AZ,85260,Destination Pet,L1 Health
Scottsdale,Scottsdale,AZ,85253,Petfolk,Undisclosed
Scottsdale Animal Healthcare,Scottsdale,AZ,85255,Mission Pet Health,Silver Lake and Shore Capital Partners
Scottsdale Cat Clinic,Scottsdale,AZ,85250,VetCor,Harvest Partners
Scottsdale Ranch Animal Hospital,Scottsdale,AZ,85258,PetVet Care Centers,KKR
Scottsdale Veterinary Clinic,Scottsdale,AZ,85251,Hippo Vet Group,DFW & Avante Capital Partners
Thrive Pet Healthcare Specialists North Scottsdale,Scottsdale,AZ,85255,Thrive Pet Healthcare,TSG Consumer Partners
VCA Del Lago Animal Hospital,Scottsdale,AZ,85258,VCA,Mars
VCA McCormick Ranch Animal Hospital and Emergency Center,Scottsdale,AZ,85258,VCA,Mars
Alta Sierra Veterinary Hospital,Show Low,AZ,85901,Blue River PetCare,Partners Group
Coronado Veterinary Hospital,Sierra Vista,AZ,85650,NVA,JAB Holdings
VCA Apache Animal Hospital,Sierra Vista,AZ,85635,VCA,Mars
Star Valley Veterinary Clinic,Star Valley,AZ,85541,NVA,JAB Holdings
Sun City Animal Hospital,Sun City,AZ,85351,NVA,JAB Holdings
Sun City Pet Lodge,Sun City,AZ,85351,NVA,JAB Holdings
Petsvet Animal Hospital,Suprise,AZ,85378,Western Veterinary Partners,Tyree & D'Angelo Partners
Animal Medical Center of Surprise,Surprise,AZ,85374,Companion Pet Partners,Cortec Group
Banfield Surprise,Surprise,AZ,85374,Banfield,Mars
Bell Parkway Veterinary Hospital,Surprise,AZ,85374,Hippo Vet Group,DFW & Avante Capital Partners
CityVet - Surprise,Surprise,AZ,85388,CityVet,RiverGlade Capital
GoodVets Surprise,Surprise,AZ,85388,GoodVets,General Atlantic
Hippo Vet Group Surprise (coming soon),Surprise,AZ,85388,Hippo Vet Group,DFW & Avante Capital Partners
Livewell Animal Hospital of Surprise (coming soon),Surprise,AZ,85379,Mission Pet Health,Silver Lake and Shore Capital Partners
Lovet White Tanks,Surprise,AZ,85388,Lovet Pet Health,The Aspen Group
Surprise,Surprise,AZ,85379,Lovet Pet Health,The Aspen Group
VCA El Mirage Animal Hospital,Surprise,AZ,85378,VCA,Mars
Banfield Pet Hospital,Tempe,AZ,85283,Banfield,Mars
Banfield Tempe,Tempe,AZ,85288,Banfield,Mars
Cobblestone Veterinary Care,Tempe,AZ,85284,Western Veterinary Partners,Tyree & D'Angelo Partners
Countryside Animal Hospital,Tempe,AZ,85284,NVA,JAB Holdings
Doggie District - Tempe,Tempe,AZ,85283,NVA,JAB Holdings
GoodVets Tempe,Tempe,AZ,85284,GoodVets,General Atlantic
McClintock Animal Care Center,Tempe,AZ,85284,NVA,JAB Holdings
Tempe Lake Veterinary Clinic & Pet Resort,Tempe,AZ,85288,Hippo Vet Group,DFW & Avante Capital Partners
Topaz Veterinary Clinic,Tempe,AZ,85282,Veterinary Practice Partners,Audax Private Equity
VCA Elliot Park Animal Hospital,Tempe,AZ,85284,VCA,Mars
VCA Tri City Animal Hospital and Acacia Cat Hospital,Tempe,AZ,85282,VCA,Mars
VCA University Animal Hospital,Tempe,AZ,85282,VCA,Mars
Vetco Total Care - Tempe,Tempe,AZ,85283,Vetco Total Care,Petco
Hippo Vet Group Avondale (coming soon),Tolleson,AZ,85353,Hippo Vet Group,DFW & Avante Capital Partners
Catalina Pet Hospital,Tucon,AZ,85712,NVA,JAB Holdings
River Road Pet Clinic,Tucon,AZ,85750,NVA,JAB Holdings
Acacia Animal Hospital,Tucson,AZ,85719,Western Veterinary Partners,Tyree & D'Angelo Partners
Arizona Veterinary Dental Specialists - Tucson,Tucson,AZ,85705,Thrive Pet Healthcare,TSG Consumer Partners
Banfield Tucson E,Tucson,AZ,85710,Banfield,Mars
Banfield Tucson Mission Plaza,Tucson,AZ,85712,Banfield,Mars
Banfield Tucson N,Tucson,AZ,85741,Banfield,Mars
Banfield Tucson SW,Tucson,AZ,85714,Banfield,Mars
Briarcrest Veterinary Care Center,Tucson,AZ,85715,Blue River PetCare,Partners Group
Cimarron Animal Hospital,Tucson,AZ,85748,Western Veterinary Partners,Tyree & D'Angelo Partners
Cortaro Farms Pet Hospital,Tucson,AZ,85742,PetVet Care Centers,KKR
Dermatology for Animals - Tucson,Tucson,AZ,85705,Thrive Pet Healthcare,TSG Consumer Partners
Encanto Pet Clinic,Tucson,AZ,85711,Lakefield Veterinary Group,Desmarais family and Peloton Capital Management
Eye Care for Animals - Broadway,Tucson,AZ,85710,Thrive Pet Healthcare,TSG Consumer Partners
Eye Care for Animals - Ft. Lowell,Tucson,AZ,85705,Thrive Pet Healthcare,TSG Consumer Partners
Pantano Animal Clinic,Tucson,AZ,85710,Lakefield Veterinary Group,Desmarais family and Peloton Capital Management
Pet Doctor - Oracle Road,Tucson,AZ,85704,PetVet Care Centers,KKR
Rita Ranch Pet Hospital,Tucson,AZ,85747,Lakefield Veterinary Group,Desmarais family and Peloton Capital Management
Rolling Hills Pet Clinic,Tucson,AZ,85730,CareVet,Compass Group Equity Partners
Sahuaro Vista Veterinary Clinic,Tucson,AZ,85704,NVA,JAB Holdings
Sonoran Veterinary Center,Tucson,AZ,85710,Western Veterinary Partners,Tyree & D'Angelo Partners
Spanish Trail Pet Clinic,Tucson,AZ,85710,PetVet Care Centers,KKR
St. Marys Animal Clinic,Tucson,AZ,85745,NVA,JAB Holdings
Tucson Veterinary Urgent Care,Tucson,AZ,85712,Lakefield Veterinary Group,Desmarais family and Peloton Capital Management
Twin Peaks Veterinary Center,Tucson,AZ,85743,Lakefield Veterinary Group,Desmarais family and Peloton Capital Management
UrgentVet Tucson,Tucson,AZ,85710,American Veterinary Group,Oak Hill Capital
VCA Animal Health Hospital,Tucson,AZ,85748,VCA,Mars
VCA Civano Animal Hospital and Emergency Center,Tucson,AZ,85747,VCA,Mars
VCA Northwest Animal Hospital - Ina Road,Tucson,AZ,85704,VCA,Mars
VCA Valley Animal Hospital and Emergency Center,Tucson,AZ,85711,VCA,Mars
VCA Valley Pet Resort,Tucson,AZ,85711,VCA,Mars
VEG Oro Valley,Tucson,AZ,85704,VEG (Veterinary Emergency Group),D1 Capital & Fidelity
Veterinary Specialty Center – Tucson,Tucson,AZ,85704,PetVet Care Centers,KKR
Sabino Veterinary Care,Tuscon,AZ,85750,Mission Pet Health,Silver Lake and Shore Capital Partners
Desert Vet Clinic,Yuma,AZ,85364,AmeriVet,AEA Investors and Abu Dhabi Investment Authority (ADIA)
Foothills Animal Hospital,Yuma,AZ,85367,Companion Pet Partners,Cortec Group
Ironwood Veterinary Clinic,Yuma,AZ,85364,NVA,JAB Holdings
Palo Verde Pet Clinic,Yuma,AZ,85365,Companion Pet Partners,Cortec Group
VCA 29 Palms Animal Hospital,29 Palms,CA,92277,VCA,Mars
Agoura Animal Clinic,Agoura Hills,CA,91301,VetCor,Harvest Partners
Ohana Pet Hospital of Agoura Hills,Agoura Hills,CA,91301,Western Veterinary Partners,Tyree & D'Angelo Partners
Park Centre Animal Hospital,Alameda,CA,94501,NVA,JAB Holdings
Vetco Total Care - Alameda,Alameda,CA,94501,Vetco Total Care,Petco
Alamo Animal Hospital,Alamo,CA,94507,NVA,JAB Holdings
Banfield Albany,Albany,CA,94706,Banfield,Mars
Codornices Veterinary Clinic,Albany,CA,94706,AmeriVet,AEA Investors and Abu Dhabi Investment Authority (ADIA)
VCA Albany Animal Hospital,Albany,CA,94707,VCA,Mars
VCA Mission Animal Hospital,Alhambra,CA,91801,VCA,Mars
Aliso Viejo Animal Hospital,Aliso Viejo,CA,92656,Mission Pet Health,Silver Lake and Shore Capital Partners
Banfield Aliso Viejo,Aliso Viejo,CA,92656,Banfield,Mars
Anaheim Animal Care & Pet Hospital,Anaheim,CA,92801,PetVet Care Centers,KKR
Anaheim Hills Pet Clinic,Anaheim,CA,92807,NVA,JAB Holdings
Cottage Pet Hospital,Anaheim,CA,92805,AmeriVet,AEA Investors and Abu Dhabi Investment Authority (ADIA)
Katella Animal Clinic,Anaheim,CA,92804,AmeriVet,AEA Investors and Abu Dhabi Investment Authority (ADIA)
VCA Yorba Regional Animal Hospital,Anaheim,CA,92807,VCA,Mars
VEG ER for Pets,Anaheim,CA,92808,VEG (Veterinary Emergency Group),D1 Capital & Fidelity
VEG Anaheim Hills,Anaheim Hills,CA,92808,VEG (Veterinary Emergency Group),D1 Capital & Fidelity
Anderson Veterinary Clinic,Anderson,CA,96007,Thrive Pet Healthcare,TSG Consumer Partners
VCA Gateway Animal Hospital,Anderson,CA,96007,VCA,Mars
Banfield Antelope,Antelope,CA,95843,Banfield,Mars
Banfield Antioch,Antioch,CA,94531,Banfield,Mars
Banfield Antioch West,Antioch,CA,94531,Banfield,Mars
VCA Antioch Animal Hospital - 10th Street CLOSED,Antioch,CA,95409,VCA,Mars
VCA Antioch Animal Hospital - Deer Valley,Antioch,CA,94531,VCA,Mars
VCA East Bay Veterinary Emergency,Antioch,CA,94509,VCA,Mars
Apple Valley Animal Hospital,Apple Valley,CA,92307,PetVet Care Centers,KKR
Banfield Apple Valley,Apple Valley,CA,92308,Banfield,Mars
Bear Valley Animal Hospital,Apple Valley,CA,92308,PetVet Care Centers,KKR
Aptos-Capitola Veterinary Hospital,Aptos,CA,95003,VetCor,Harvest Partners
Aptos-Creekside Pet Hospital,Aptos,CA,95003,PetVet Care Centers,KKR
Central Coast Pet Hospital and Emergency,Arroyo Grande,CA,93420,NVA,JAB Holdings
VCA Arroyo Grande Animal Hospital,Arroyo Grande,CA,93420,VCA,Mars
VCA South County Animal Hospital,Arroyo Grande,CA,93420,VCA,Mars
South Auburn Veterinary Hospital,Auburn,CA,95603,Blue River PetCare,Partners Group
Vetco Total Care - Auburn,Auburn,CA,95603,Vetco Total Care,Petco
Animal Dermatology Clinic Bakersfield,Bakersfield,CA,93311,Animal Dermatology Clinic,Percheron Capital
Banfield Bakersfield,Bakersfield,CA,93309,Banfield,Mars
Banfield Bakersfield E,Bakersfield,CA,93306,Banfield,Mars
Coffee Road Animal Hospital & Pet Resort,Bakersfield,CA,93308,NVA,JAB Holdings
Southwest Veterinary Hospital,Bakersfield,CA,93304,NVA,JAB Holdings
Stiern Veterinary Hospital,Bakersfield,CA,93305,NVA,JAB Holdings
Stine Veterinary Hospital,Bakersfield,CA,93313,PetVet Care Centers,KKR
VCA At The Oaks Animal Hospital,Bakersfield,CA,93311,VCA,Mars
VCA Bakersfield Animal Hospital,Bakersfield,CA,93311,VCA,Mars
Tender Loving Care Animal Hospital,Baldwin Park,CA,91706,VetCor,Harvest Partners
Banning Veterinary Hospital,Banning,CA,92220,PetVet Care Centers,KKR
Beaumont Animal Hospital,Beaumont,CA,92223,AmeriVet,AEA Investors and Abu Dhabi Investment Authority (ADIA)
Oak Valley Animal Hospital,Beaumont,CA,92223,Companion Pet Partners,Cortec Group
Above and Beyond Animal Care,Bella Vista,CA,96008,Western Veterinary Partners,Tyree & D'Angelo Partners
Animal Clinic of Benicia,Benicia,CA,94510,PetVet Care Centers,KKR
VCA Benicia Animal Hospital,Benicia,CA,94510,VCA,Mars
Berkeley Dog & Cat Hospital,Berkeley,CA,94704,PetVet Care Centers,KKR
Campus Veterinary Clinic,Berkeley,CA,94709,AmeriVet,AEA Investors and Abu Dhabi Investment Authority (ADIA)
Modern Animal - Berkeley,Berkeley,CA,94710,Modern Animal,"Chewy, Inc. (NYSE: CHWY)"
PETS Referral Center,Berkeley,CA,94710,United Veterinary Care,Nordic Capital
University Vet Hospital,Berkeley,CA,94710,VetCor,Harvest Partners
VCA Desert Dunes Animal Hospital,Bermuda Dunes,CA,92203,VCA,Mars
Beverly Hills Small Animal Hospital,Beverly Hills,CA,90210,VetCor,Harvest Partners
VCA Lakeside Animal Hospital CLOSED,Big Bear City,CA,92314,VCA,Mars
Town & Country Animal Hospital,Bonita,CA,91902,Companion Pet Partners,Cortec Group
Banfield Brea,Brea,CA,92821,Banfield,Mars
Banfield Brea Marketplace,Brea,CA,92821,Banfield,Mars
Brentwood Family Pet Care,Brentwood,CA,94513,NVA,JAB Holdings
Brentwood Veterinary Hospital,Brentwood,CA,94513,NVA,JAB Holdings
Vetco Total Care - Brentwood,Brentwood,CA,94513,Vetco Total Care,Petco
Banfield Buena Park,Buena Park,CA,90620,Banfield,Mars
Bow Wow Bungalow,Burbank,CA,91504,Destination Pet,L1 Health
VCA Burbank Animal Hospital,Burbank,CA,91505,VCA,Mars
Vetco Total Care - Burbank,Burbank,CA,91505,Vetco Total Care,Petco
Dr. Treat - Burlingame,Burlingame,CA,94010,Mission Pet Health,Silver Lake and Shore Capital Partners
Holistic Veterinary Center,Calabasas,CA,91302,NVA,JAB Holdings
Calimesa Veterinary Clinic,Calimesa,CA,92320,Pet Cure Inc.,Privately owned corporation
Dr. Battier's Veterinary Clinic,Camarillo,CA,93010,VetCor,Harvest Partners
Las Posas Veterinary Medical Center,Camarillo,CA,93010,NVA,JAB Holdings
Pleasant Valley Animal Hospital,Camarillo,CA,93010,VetCor,Harvest Partners
Companion Animal Hospital,Cameron Park,CA,95682,Western Veterinary Partners,Tyree & D'Angelo Partners
Goldorado Animal Hospital,Cameron Park,CA,95682,NVA,JAB Holdings
Banfield Campbell,Campbell,CA,95008,Banfield,Mars
Central Animal Hospital,Campbell,CA,95008,Blue River PetCare,Partners Group
Dermatology for Animals - Campbell,Campbell,CA,95008,Thrive Pet Healthcare,TSG Consumer Partners
Kirkwood Animal Hospital,Campbell,CA,95008,NVA,JAB Holdings
MedVet Campbell,Campbell,CA,95008,MedVet,Minority stake by Leonard Green & Partners
PetCure Oncology at SAGE Veterinary Centers,Campbell,CA,95008,Thrive Pet Healthcare,TSG Consumer Partners
SAGE - Restful Paws,Campbell,CA,95008,Ethos Veterinary Health,JAB Holdings
SAGE – Campbell,Campbell,CA,95008,Ethos Veterinary Health,JAB Holdings
The Cat Hospital - Campbell,Campbell,CA,95008,Curo Pet Care,Privately owned corporate consolidator
